"line_number","sentence","subject","extracted_subject","object","extracted_object","relation","extracted_relation","relation_definition","extracted_relation_definition","definition_similarity","NOTA"
"1","Barack Obama was born in Hawaii.","Barack Obama","Barack Obama","Hawaii","Hawaii","birthPlace","birthPlace","The subject entity was born in the location specified by the object entity.","The subject entity was born in the location specified by the object entity.","1.0","false"
"2","Albert Einstein was born in Ulm, Germany.","Albert Einstein","Albert Einstein","Ulm, Germany","Ulm, Germany","birthPlace","birthPlace","The subject entity was born in the location specified by the object entity.","The subject entity was born in the location specified by the object entity.","1.0","false"
"3","Marie Curie was born in Warsaw, Poland.","Marie Curie","Marie Curie","Warsaw, Poland","Warsaw, Poland","birthPlace","birthPlace","The subject entity was born in the location specified by the object entity.","The subject entity was born in the location specified by the object entity.","1.0","false"
"4","Leonardo da Vinci was born in Vinci, Italy.","Leonardo da Vinci","Leonardo da Vinci","Vinci, Italy","Vinci, Italy","birthPlace","birthPlace","The subject entity was born in the location specified by the object entity.","The subject entity was born in the location specified by the object entity.","1.0","false"
"5","Isaac Newton was born in Woolsthorpe Manor, England.","Isaac Newton","Isaac Newton","Woolsthorpe Manor, England","Woolsthorpe Manor, England","birthPlace","birthPlace","The subject entity was born in the location specified by the object entity.","The subject entity was born in the location specified by the object entity.","1.0","false"
"6","Paris is the capital of France.","Paris","Paris","France","France","capital","capital","The subject entity is the capital city of the country or region specified by the object entity.","The subject entity is the capital city of the country or region specified by the object entity.","1.0","false"
"7","Berlin is the capital of Germany.","Berlin","Berlin","Germany","Germany","capital","capital","The subject entity is the capital city of the country or region specified by the object entity.","The subject entity is the capital city of the country or region specified by the object entity.","1.0","false"
"8","Tokyo is the capital of Japan.","Tokyo","Tokyo","Japan","Japan","capital","capital","The subject entity is the capital city of the country or region specified by the object entity.","The subject entity is the capital city of the country or region specified by the object entity.","1.0","false"
"9","Rome is the capital of Italy.","Rome","Rome","Italy","Italy","capital","capital","The subject entity is the capital city of the country or region specified by the object entity.","The subject entity is the capital city of the country or region specified by the object entity.","1.0","false"
"10","Ottawa is the capital of Canada.","Ottawa","Ottawa","Canada","Canada","capital","capital","The subject entity is the capital city of the country or region specified by the object entity.","The subject entity is the capital city of the country or region specified by the object entity.","1.0","false"
"11","Apple Inc. was founded by Steve Jobs.","Apple Inc.","Apple Inc.","Steve Jobs","Steve Jobs","founder","founder","The subject entity was founded or created by the person or entity specified by the object entity.","The subject entity was founded or created by the person or entity specified by the object entity.","1.0","false"
"12","Facebook was founded by Mark Zuckerberg.","Facebook","Facebook","Mark Zuckerberg","Mark Zuckerberg","founder","founder","The subject entity was founded or created by the person or entity specified by the object entity.","The subject entity was founded or created by the person or entity specified by the object entity.","1.0","false"
"13","Google was founded by Larry Page and Sergey Brin.","Google","Google","Larry Page and Sergey Brin","Larry Page and Sergey Brin","founder","founder","The subject entity was founded or created by the person or entity specified by the object entity.","The subject entity was founded or created by the person or entity specified by the object entity.","1.0","false"
"14","Microsoft was founded by Bill Gates.","Microsoft","Microsoft","Bill Gates","Bill Gates","founder","founder","The subject entity was founded or created by the person or entity specified by the object entity.","The subject entity was founded or created by the person or entity specified by the object entity.","1.0","false"
"15","Amazon was founded by Jeff Bezos.","Amazon","Amazon","Jeff Bezos","Jeff Bezos","founder","founder","The subject entity was founded or created by the person or entity specified by the object entity.","The subject entity was founded or created by the person or entity specified by the object entity.","1.0","false"
"16","The Nile River is located in Egypt.","Nile River","Nile River","Egypt","Egypt","location","location","The subject entity is located in the place specified by the object entity.","The subject entity is located in the place specified by the object entity.","1.0","false"
"17","The Great Wall is located in China.","Great Wall","Great Wall","China","China","location","location","The subject entity is located in the place specified by the object entity.","The subject entity is located in the place specified by the object entity.","1.0","false"
"18","The Eiffel Tower is located in Paris.","Eiffel Tower","Eiffel Tower","Paris","Paris","location","location","The subject entity is located in the place specified by the object entity.","The subject entity is located in the place specified by the object entity.","1.0","false"
"19","The Grand Canyon is located in Arizona.","Grand Canyon","Grand Canyon","Arizona","Arizona","location","location","The subject entity is located in the place specified by the object entity.","The subject entity is located in the place specified by the object entity.","1.0","false"
"20","Mount Everest is located in Nepal.","Mount Everest","Mount Everest","Nepal","Nepal","location","location","The subject entity is located in the place specified by the object entity.","The subject entity is located in the place specified by the object entity.","1.0","false"
"21","The Mona Lisa was painted by Leonardo da Vinci.","Mona Lisa","Mona Lisa","Leonardo da Vinci","Leonardo da Vinci","creator","creator","The subject entity was created by the person specified by the object entity.","The subject entity was created by the person specified by the object entity.","1.0","false"
"22","Starry Night was painted by Vincent van Gogh.","Starry Night","Starry Night","Vincent van Gogh","Vincent van Gogh","creator","creator","The subject entity was created by the person specified by the object entity.","The subject entity was created by the person specified by the object entity.","1.0","false"
"23","The Persistence of Memory was painted by Salvador Dalí.","The Persistence of Memory","The Persistence of Memory","Salvador Dalí","Salvador Dalí","creator","creator","The subject entity was created by the person specified by the object entity.","The subject entity was created by the person specified by the object entity.","1.0","false"
