"line_number","sentence","subject","extracted_subject","object","extracted_object","relation","extracted_relation","relation_definition","extracted_relation_definition","definition_similarity","NOTA"
"1","The location of Trane is Swords, Dublin.","Trane","Trane","Swords, Dublin","Swords, Dublin","location","location","The subject entity is located in the place specified by the object entity.","The subject entity is located in the place specified by the object entity.","1.0","false"
"2","The Ciudad Ayala city, a part of Morelos with population density and population of 1604.0 and 1,777,539 respectively, has a UTC offset of -6. The government type of Ciudad Ayala is council-manager government and City Manager is one of the leaders.","Ciudad Ayala","Ciudad Ayala","1777539","1777539","populationMetro","populationMetro","The subject entity has a metropolitan population as specified by the object entity.","The subject entity has a metropolitan population of the number specified by the object entity.","0.9806665778160095","false"
"2","The Ciudad Ayala city, a part of Morelos with population density and population of 1604.0 and 1,777,539 respectively, has a UTC offset of -6. The government type of Ciudad Ayala is council-manager government and City Manager is one of the leaders.","","Ciudad Ayala","","City Manager","type","leaderTitle","The subject entity is classified or categorized as the type specified by the object entity.","The object entity is a title held by a leader of the subject entity.","0.7283695340156555","true"
"2","The Ciudad Ayala city, a part of Morelos with population density and population of 1604.0 and 1,777,539 respectively, has a UTC offset of -6. The government type of Ciudad Ayala is council-manager government and City Manager is one of the leaders.","Ciudad Ayala","Ciudad Ayala","City","City","type","type","The subject entity is classified or categorized as the type specified by the object entity.","The subject entity is of the type specified by the object entity.","0.9017316699028015","false"
"2","The Ciudad Ayala city, a part of Morelos with population density and population of 1604.0 and 1,777,539 respectively, has a UTC offset of -6. The government type of Ciudad Ayala is council-manager government and City Manager is one of the leaders.","","Ciudad Ayala","","1604.0","governmentType","populationDensity","The subject entity operates under the form of government specified by the object entity.","The subject entity has a population density of the value specified by the object entity.","0.7654672265052795","true"
"2","The Ciudad Ayala city, a part of Morelos with population density and population of 1604.0 and 1,777,539 respectively, has a UTC offset of -6. The government type of Ciudad Ayala is council-manager government and City Manager is one of the leaders.","Ciudad Ayala","Ciudad Ayala","Council-manager government","council-manager government","governmentType","governmentType","The subject entity operates under the form of government specified by the object entity.","The subject entity has the form of government specified by the object entity.","0.9664841294288635","false"
"4","Alan B. Miller Hall, in Virginia, USA, was designed by Robert A.M. Stern. The address of the hall is ""101 Ukrop Way"" and the current tenants are the Mason School of Business.","","Alan B. Miller Hall","","Robert A.M. Stern","architect","architect","The subject entity was designed or planned by the object entity.","The subject entity was designed by the person or entity specified by the object entity.","0.954702615737915","true"
"4","Alan B. Miller Hall, in Virginia, USA, was designed by Robert A.M. Stern. The address of the hall is ""101 Ukrop Way"" and the current tenants are the Mason School of Business.","Alan B. Miller Hall","","Robert A. M. Stern","","architect","architect","The subject entity was designed or planned by the object entity.","The subject entity was designed by the person or entity specified by the object entity.","0.954702615737915","invalid"
"4","Alan B. Miller Hall, in Virginia, USA, was designed by Robert A.M. Stern. The address of the hall is ""101 Ukrop Way"" and the current tenants are the Mason School of Business.","Alan B. Miller Hall","Alan B. Miller Hall","""101 Ukrop Way""","""101 Ukrop Way""","address","address","The subject entity is located at the address specified by the object.","The subject entity is located at the address specified by the object entity.","0.9908931255340576","false"
"4","Alan B. Miller Hall, in Virginia, USA, was designed by Robert A.M. Stern. The address of the hall is ""101 Ukrop Way"" and the current tenants are the Mason School of Business.","Alan B. Miller Hall","Alan B. Miller Hall","Mason School of Business","Mason School of Business","currentTenants","currentTenants","The subject entity is currently occupied or used by the object entity.","The subject entity is currently occupied or used by the entity specified by the object entity.","0.977565348148346","false"
